OS * SS ; OCNS

OS * SG ; ODOB

OS * SH ; ODOH

OS * SN ; ODAD

OS * GO ; ODBO

OS * GA ; ODBS

OS * GB ; ODCB

OS * GC ; ODCH

OS * GD ; ODDD

OS * GE ; ODEO

OS * GS ; ODES

OS * GG ; ODSB

OS * GH ; ODSH

OS * GN ; ODGD

OS * HO ; ODHO

OS * HA ; ODHS

OS * HB ; ODNB

OS * HC ; ODNH

OS * HD ; OEOD

OS * HE ; OEAO

OS * HS ; OEAS

OS * HG ; OEBB

OS * HH ; OEBH

OS * HN ; OECD

OS * NO ; OEDO

OS * NA ; OEDS

OS * NB ; OEEB

OS * NC ; OEEH

OS * ND ; OESD

OS * NE ; OEGO

OS * NS ; OEGS

OS * NG ; OEHB

OS * NH ; OEHH

OG * OA ; OOOG

OG * OB ; OOAD

OG * OC ; OOBA

OG * OD ; OOBH

OG * OE ; OOCE

OG * OS ; OODB

OG * OG ; OODN

OG * OH ; OOES

OG * ON ; OOSC

OG * AO ; OOGO

OG * AA ; OOGG

OG * AB ; OOHD

OG * AC ; OONA

OG * AD ; OONH

OG * AE ; OAOE

OG * AS ; OAAB

OG * AG ; OAAN

OG * AH ; OABS

OG * AN ; OACC

OG * BO ; OADO

OG * BA ; OADG

OG * BB ; OAED

OG * BC ; OASA

OG * BD ; OASH

OG * BE ; OAGE

OG * BS ; OAHB

OG * BG ; OAHN

OG * BH ; OANS

OG * BN ; OBOC

OG * CO ; OBAO

OG * CA ; OBAG

OG * CB ; OBBD

OG * CC ; OBCA

OG * CD ; OBCH

OG * CE ; OBDE

OG * CS ; OBEB

OG * CG ; OBEN

OG * CH ; OBSS

OG * CN ; OBGC

OG * DO ; OBHO

OG * DA ; OBHG

OG * DB ; OBND

OG * DC ; OCOA

OG * DD ; OCOH

OG * DE ; OCAE

OG * DS ; OCBB

OG * DG ; OCBN

OG * DH ; OCCS

OG * DN ; OCDC

OG * EO ; OCEO

OG * EA ; OCEG

OG * EB ; OCSD

OG * EC ; OCGA

OG * ED ; OCGH

OG * EE ; OCHE

OG * ES ; OCNB

OG * EG ; OCNN

OG * EH ; ODOS

OG * EN ; ODAC

OG * SO ; ODBO

OG * SA ; ODBG

OG * SB ; ODCD

OG * SC ; ODDA

OG * SD ; ODDH

OG * SE ; ODEE

OG * SS ; ODSB

OG * SG ; ODSN

OG * SH ; ODGS

OG * SN ; ODHC

OG * GO ; ODNO

OG * GA ; ODNG

OG * GB ; OEOD

OG * GC ; OEAA

OG * GD ; OEAH

OG * GE ; OEBE

OG * GS ; OECB

OG * GG ; OECN

OG * GH ; OEDS

OG * GN ; OEEC

OG * HO ; OESO

OG * HA ; OESG

OG * HB ; OEGD

OG * HC ; OEHA

OG * HD ; OEHH

OG * HE ; OENE

OG * HS ; OSOB

OG * HG ; OSON

OG * HH ; OSAS

OG * HN ; OSBC

OG * NO ; OSCO

OG * NA ; OSCG

OG * NB ; OSDD

OG * NC ; OSEA

OG * ND ; OSEH

OG * NE ; OSSE

OG * NS ; OSGB

OG * NG ; OSGN

OG * NH ; OSHS

OH * OA ; OOOH

OH * OB ; OOAS

OH * OC ; OOBD

OH * OD ; OOCB

OH * OE ; OODO

OH * OS ; OODH

OH * OG ; OOES

OH * OH ; OOSD

OH * ON ; OOGB

OH * AO ; OOHO

OH * AA ; OOHH

OH * AB ; OONS

OH * AC ; OAOD

OH * AD ; OAAB

OH * AE ; OABO

OH * AS ; OABH

OH * AG ; OACS

OH * AH ; OADD

OH * AN ; OAEB

OH * BO ; OASO

OH * BA ; OASH

OH * BB ; OAGS

OH * BC ; OAHD

OH * BD ; OANB

OH * BE ; OBOO

OH * BS ; OBOH

OH * BG ; OBAS

OH * BH ; OBBD

OH * BN ; OBCB

OH * CO ; OBDO

OH * CA ; OBDH

OH * CB ; OBES

OH * CC ; OBSD

OH * CD ; OBGB

OH * CE ; OBHO

OH * CS ; OBHH

OH * CG ; OBNS

OH * CH ; OCOD

OH * CN ; OCAB

OH * DO ; OCBO

OH * DA ; OCBH

OH * DB ; OCCS

OH * DC ; OCDD

OH * DD ; OCEB

OH * DE ; OCSO

OH * DS ; OCSH

OH * DG ; OCGS

OH * DH ; OCHD

OH * DN ; OCNB

OH * EO ; ODOO

OH * EA ; ODOH

OH * EB ; ODAS

OH * EC ; ODBD

OH * ED ; ODCB

OH * EE ; ODDO

OH * ES ; ODDH

OH * EG ; ODES

OH * EH ; ODSD

OH * EN ; ODGB

OH * SO ; ODHO

OH * SA ; ODHH

OH * SB ; ODNS

OH * SC ; OEOD

OH * SD ; OEAB

OH * SE ; OEBO

OH * SS ; OEBH

OH * SG ; OECS

OH * SH ; OEDD

OH * SN ; OEEB

OH * GO ; OESO

OH * GA ; OESH

OH * GB ; OEGS

OH * GC ; OEHD

OH * GD ; OENB

OH * GE ; OSOO

OH * GS ; OSOH

OH * GG ; OSAS

OH * GH ; OSBD

OH * GN ; OSCB

OH * HO ; OSDO

OH * HA ; OSDH

OH * HB ; OSES

OH * HC ; OSSD

OH * HD ; OSGB

OH * HE ; OSHO

OH * HS ; OSHH

OH * HG ; OSNS

OH * HH ; OGOD

OH * HN ; OGAB

OH * NO ; OGBO

OH * NA ; OGBH

OH * NB ; OGCS

OH * NC ; OGDD

OH * ND ; OGEB

OH * NE ; OGSO

OH * NS ; OGSH

OH * NG ; OGGS

